COG,COG_Name,cqr_census_2010_count,july1_2017_pop_est,jan1_2018_pop_est,num_chg_10_17,num_chg_10_18,pct_chg_10_17,pct_chg_10_18
18,Alamo Area,2249718,2584579,2608094,334861,358376,14.9,15.9
05,Ark-Tex,281947,289778,289834,7831,7887,2.8,2.8
13,Brazos Valley,319447,354605,356493,35158,37046,11.0,11.6
12,Capital Area,1830003,2235029,2280566,405026,450563,22.1,24.6
23,Central Texas,449641,487175,489049,37534,39408,8.3,8.8
20,Coastal Bend,571280,596270,596982,24990,25702,4.4,4.5
10,Concho Valley,154192,159827,158891,5635,4699,3.7,3.0
14,Deep East Texas,378477,387556,387492,9079,9015,2.4,2.4
06,East Texas,829749,870280,873300,40531,43551,4.9,5.2
17,Golden Crescent,188626,198347,198671,9721,10045,5.2,5.3
11,Heart of Texas,349273,370696,372422,21423,23149,6.1,6.6
16,Houston-Galveston,6087133,7033951,7088057,946818,1000924,15.6,16.4
21,Lower Rio Grande Valley,1203127,1307120,1308607,103993,105480,8.6,8.8
24,Middle Rio Grande,167010,175451,177178,8441,10168,5.1,6.1
03,Nortex,222860,222572,222575,-288,-285,-0.1,-0.1
04,North Central Texas,6539950,7515233,7594879,975283,1054929,14.9,16.1
01,Panhandle,427927,438275,436449,10348,8522,2.4,2.0
09,Permian Basin,417679,478058,479011,60379,61332,14.5,14.7
08,Rio Grande,825913,870697,871735,44784,45822,5.4,5.5
15,South East Texas,388745,395346,398055,6601,9310,1.7,2.4
02,South Plains,411659,434180,434565,22521,22906,5.5,5.6
19,South Texas,330590,362001,363594,31411,33004,9.5,10.0
22,Texoma,193229,204749,206364,11520,13135,6.0,6.8
07,West Central Texas,327390,332821,332733,5431,5343,1.7,1.6
99,State of Texas,25145565,28304596,28525596,3159031,3380031,12.6,13.4
