OBJECTID,ID,NAME,STATE_NAME,ST_ABBREV,2018 Total Population (Esri),2018 Household Population (Esri),2018 Population Density (Pop per Square Mile) (Esri),2018 Total Households (Esri),2018 Average Household Size (Esri),2010-2018 Population: Annual Growth Rate (Esri),2010-2018 Households: Annual Growth Rate (Esri),2018 Generation Alpha Population (Born 2017 or Later),2018 Generation Z Population (Born 1999 to 2016),2018 Millennial Population (Born 1981 to 1998),2018 Generation X Population (Born 1965 to 1980),2018 Baby Boomer Population (Born 1946 to 1964),2018 Silent & Greatest Generations Population (Born 1945/Earlier),2018 Population by Generation Base,2018 Total Population Age 0-4 (Esri),2018 Total Population Age 5-9 (Esri),2018 Total Population Age 10-14 (Esri),2018 Total Population Age 15-19 (Esri),2018 Total Population Age 20-24 (Esri),2018 Total Population Age 25-29 (Esri),2018 Total Population Age 30-34 (Esri),2018 Total Population Age 35-39 (Esri),2018 Total Population Age 40-44 (Esri),2018 Total Population Age 45-49 (Esri),2018 Total Population Age 50-54 (Esri),2018 Total Population Age 55-59 (Esri),2018 Total Population Age 60-64 (Esri),2018 Total Population Age 65-69 (Esri),2018 Total Population Age 70-74 (Esri),2018 Total Population Age 75-79 (Esri),2018 Total Population Age 80-84 (Esri),2018 Total Population Age 85+ (Esri),2018 Median Age (Esri),2018 Male Population (Esri),2018 Median Male Age (Esri),2018 Female Population (Esri),2018 Median Female Age (Esri),2018 Total Population by Five-Year Age Base (Esri),2018 Civilian Population Age 16+ in Labor Force (Esri),2018 Employed Civilian Population Age 16+ (Esri),2018 Unemployed Population Age 16+ (Esri),2018 Unemployment Rate (Esri),2018 Hispanic Population (Esri),2018 White Non-Hispanic Population (Esri),2018 Black/African American Non-Hispanic Population (Esri),2018 American Indian/Alaska Native Non-Hispanic Population (Esri),2018 Asian Non-Hispanic Population (Esri),2018 Pacific Islander Non-Hispanic Population (Esri),2018 Other Race Non-Hispanic Population (Esri),2018 Multiple Races Non-Hispanic Population (Esri),2018 Diversity Index (Esri),2018 Population by Race Base (Esri),"2018 Household Income less than $15,000 (Esri)","2018 Household Income $15,000-$24,999 (Esri)","2018 Household Income $25,000-$34,999 (Esri)","2018 Household Income $35,000-$49,999 (Esri)","2018 Household Income $50,000-$74,999 (Esri)","2018 Household Income $75,000-$99,999 (Esri)","2018 Household Income $100,000-$149,999 (Esri)","2018 Household Income $150,000-$199,999 (Esri)","2018 Household Income $200,000 or greater (Esri)",2018 Median Household Income (Esri),2018 Average Household Income (Esri),2018 Per Capita Income (Esri),2018 Households by Income Base (Esri),2018 Median Home Value (Esri),2018 Average Home Value (Esri),2023 Total Population (Esri),2023 Household Population (Esri),2023 Population Density (Pop per Square Mile) (Esri),2023 Total Households (Esri),2023 Average Household Size (Esri),2018-2023 Population: Annual Growth Rate (Esri),2018-2023 Households: Annual Growth Rate (Esri),2018-2023 Per Capita Income: Annual Growth Rate (Esri),2018-2023 Median Household Income: Annual Growth Rate (Esri),2023 Diversity Index (Esri),2023 Median Household Income (Esri),2023 Average Household Income (Esri),2023 Per Capita Income (Esri),2010 Total Population (U.S. Census),Shape__Area,Shape__Length,2018 Total Housing Units (Esri),2018 Owner Occupied Housing Units (Esri),2018 Renter Occupied Housing Units (Esri),2010 Owner-occupied Housing Units with a Mortgage/loan (U.S. Census), 2010 Owner-occupied Housing Units Owned Free and Clear (U.S. Census),2010 Population Living in Owner-occupied Housing Units (U.S. Census),2010 Population Living in Renter-occupied Housing Units (U.S. Census),2018 Vacant Housing Units (Esri)
1,75501,Texarkana,Texas,TX,37349,34879,322.6,13752,2.54,0.19,0.24,982,8534,9486,7556,8162,2629,37349,2470,2397,2338,2311,2542,2818,2633,2458,2351,2345,2385,2467,2275,1980,1483,954,581,561,37.4,18918,35.8,18431,39.1,37349,15363,14542,821,5.3,3215,19315,13340,205,318,30,33,893,63.6,37349,2692,2077,1577,2049,2210,1306,1188,307,346,37982,54831,21611,13752,98717,135707,37861,35391,327,13917,2.54,0.27,0.24,2.63,2.21,65.8,42366,63113,24602,36767,433469104.5,179615.1957,15525,7404,6348,4404,3544,20097,13847,1773
2,75204,Dallas,Texas,TX,36616,35950,13725.7,20456,1.76,3.79,3.89,665,4711,18351,7086,4594,1209,36616,1628,1338,1183,1227,2971,7001,5853,3884,2480,1927,1637,1515,1293,1036,665,451,281,246,32.5,19006,33.3,17610,31.7,36616,26838,26186,652,2.4,10431,17417,5215,111,2699,17,52,674,75.1,36616,2073,1694,1165,2157,3764,2192,3593,1572,2246,69421,101284,57316,20456,307339,359048,43641,42975,16359,24254,1.77,3.57,3.46,2.12,3.3,77.5,81649,113430,63655,26939,9799854,14284.544,22118,3570,16886,2538,595,5760,20589,1662
3,78666,San Marcos,Texas,TX,76863,68234,413.1,28075,2.43,2.34,2.57,1395,17364,33715,9331,10893,4165,76863,3442,3214,3216,8887,20036,7118,4475,3327,2808,2922,2972,3188,3042,2737,2056,1391,962,1070,24.9,38762,25,38101,24.8,76863,38804,36754,2050,5.3,36638,32571,4225,254,1625,77,130,1343,72.6,76863,5975,3668,2840,4097,4617,2642,2438,892,906,39576,58148,23818,28075,180289,230218,88297,79669,474.5,32942,2.42,2.81,3.25,2.09,2.05,73.7,43810,64762,26407,63493,643038938,176962.3877,30036,10516,17559,5505,3355,25025,30632,1961
4,76205,Denton,Texas,TX,19831,18390,2330.4,7945,2.31,1.07,1.01,394,3497,9317,2697,2964,962,19831,925,821,792,1353,5016,2336,1350,977,818,829,860,888,789,748,571,359,228,171,27.2,10277,27.5,9554,26.7,19831,10996,10407,589,5.4,4341,10219,3570,85,1111,6,21,478,70.8,19831,1784,1114,860,1006,1175,611,724,206,465,37473,64814,27187,7945,205666,234961,21505,20065,2527.1,8651,2.32,1.63,1.72,2.1,2.21,74.2,41799,72179,30161,18168,31509428,33781.51387,8453,2442,5503,1510,898,6216,10639,508
5,79755,Midkiff,Texas,TX,373,361,0.5,143,2.52,0.64,0.61,10,89,80,67,97,30,373,23,25,28,23,16,22,24,28,22,18,21,27,32,22,17,12,7,6,39.6,191,39.5,182,39.6,373,137,134,3,2.2,152,207,7,6,0,0,0,1,68.7,373,20,9,13,12,26,26,25,6,6,64648,79600,31036,143,75000,84140,378,366,0.5,146,2.51,0.27,0.42,2.92,3.56,68.7,77006,91454,35836,354,2855055470,375824.5219,196,93,50,29,68,235,108,53
6,78886,Yancey,Texas,TX,595,595,9,233,2.55,1.55,1.5,10,111,107,120,185,62,595,25,28,32,36,33,30,26,29,31,42,45,53,52,49,34,22,15,13,48.3,288,48.2,307,48.4,595,263,259,4,1.5,232,355,2,0,0,0,0,6,59,595,21,16,23,29,42,43,37,11,11,64149,79353,31074,233,167045,340854,641,641,9.7,251,2.55,1.5,1.5,3.31,3.87,59.9,77568,93390,36569,524,224765145,107162.2072,299,205,28,78,99,452,72,66
7,76104,Fort Worth,Texas,TX,20112,19106,3421.7,7143,2.67,1.43,1.55,662,5514,4864,3804,3919,1349,20112,1734,1646,1472,1324,1344,1452,1354,1172,1131,1227,1239,1364,1045,838,659,438,310,363,34,10059,34.5,10053,33.5,20112,6999,6192,807,11.5,7533,2389,9555,53,280,9,27,266,83,20112,2416,1417,786,831,918,322,302,62,89,22418,37394,14261,7143,67443,97682,22290,21284,3792.2,8023,2.65,2.08,2.35,3.11,3.04,83.4,26035,43729,16624,17890,21531829.5,24809.62611,8268,2740,4403,1352,1444,8211,8822,1125
8,76244,Keller,Texas,TX,78783,78772,5136.1,24625,3.2,3.29,3.08,3035,24894,21376,18941,8976,1561,78783,7779,7823,7100,5227,3759,5482,7157,8218,6851,5439,4161,3219,2428,1841,1122,597,329,251,31.6,38588,31,40195,32,78783,41898,40829,1069,2.6,15696,47196,7042,280,6161,108,127,2173,63.2,78783,600,808,954,1879,4122,4572,6908,2747,2035,95579,110825,34646,24625,228462,237972,88337,88326,5758.9,27498,3.21,2.32,2.23,1.84,1.19,67.9,101381,121882,37945,60337,56606826.5,38890.78447,25102,19528,5097,14726,1130,50565,9763,477
9,76446,Dublin,Texas,TX,9432,9370,24.1,3396,2.76,0.66,0.5,279,2317,2273,1747,2099,717,9432,673,687,655,581,557,660,686,597,521,560,559,636,581,511,390,253,157,168,36.8,4795,36.2,4637,37.5,9432,4532,4414,118,2.6,3427,5778,47,49,20,0,3,108,69.3,9432,453,451,463,531,659,398,243,89,109,43151,60438,21851,3396,101607,173933,9791,9729,25.1,3517,2.77,0.75,0.7,2.55,2.53,71.6,48882,68752,24783,8936,1414969613,299153.6072,4250,2342,1054,1057,1235,6184,2693,854
10,79601,Abilene,Texas,TX,26699,19508,85.4,8466,2.3,0.53,0.66,495,5082,10402,4595,4310,1815,26699,1157,1055,954,2411,4782,2577,2007,1668,1427,1451,1352,1326,1139,1066,810,637,411,469,31,15380,31.8,11319,29.3,26699,10156,9669,487,4.8,6646,15401,3607,74,515,7,32,417,69.8,26699,1543,1165,1147,1136,1621,818,692,162,182,38986,54521,19526,8466,120294,150449,27345,20154,87.5,8752,2.3,0.48,0.67,2.06,2.22,71.9,43514,60722,21619,25563,1146202002,272947.2884,9752,3899,4567,1926,2015,9731,8775,1286
