brewery_id,brewery_name,beer_id,beer_name,beer_style,beer_abv,beer_ibu,beer_description,rating_score,rating_count
420745,Two Docs Brewing Co.,3062868,Buddy Hoppy IPA,IPA - American,8.2,70,This is a bold “rock-star” beer with a hop profile that is not for the faint of heart. We feel that this IPA Is brewed with the same pioneering spirit that Buddy Holly brought to Rock & Roll and music in general. This is for craft brew followers with a mature palate that are not afraid to take chances.,3.744,287
420745,Two Docs Brewing Co.,3063007,Two Docs Bock,Bock - Single / Traditional,5.4,19,"This style of craft brew has been very popular in Texas culture for years and is our West Texas version of a dark German lager. It’s smooth, rich and great with spicy food such as Tex-Mex and Bar-B-Q. This beer appeals to people that have been around craft beers for a while and prefer a nice malty flavor.",3.801,202
420745,Two Docs Brewing Co.,3104742,Red Dirt Red Ale,Red Ale - American Amber / Red,6.5,43,"Like its musical namesake, this is a unique and original beer with some edge to it. Ruby red in color and great hop flavor.",3.693,166
420745,Two Docs Brewing Co.,3219621,Chilton Gose,Sour - Gose,4.25,8,,3.897,145
420745,Two Docs Brewing Co.,3063164,End of the Street Wheat,Wheat Beer - Other,5.2,25,"Easy-drinking wheat, with a surprising Amarillo hop finish. ",3.707,135
420745,Two Docs Brewing Co.,3209433,Dos Doctores,Lager - Vienna,5.4,18,,3.877,132
420745,Two Docs Brewing Co.,3408493,Hayes-E Baby IPA,IPA - New England,7.1,35,"A hazy, juicy, citrus driven New England IPA. Whirlpool hop additions of Azacca, Citra, and Moasic hops with two massive dry hop additions along with Oats and Wheat give this beer a smooth and juicy mouthfeel. It is an IPA that's not just for the Hop Heads. ",4.002,123
420745,Two Docs Brewing Co.,3232592,Weller Weiss,Hefeweizen,5.1,11,,3.75,115
420745,Two Docs Brewing Co.,3440110,Doktoberfest,Festbier,6.1,24,,4.048,98
420745,Two Docs Brewing Co.,3125707,The Notorious Irish Stout,Stout - Irish Dry,4.5,24,,3.745,101
420745,Two Docs Brewing Co.,3104744,Lubbock Light,Lager - Helles,4.0,9,"An All-American Light beer. Think golf, tailgates, poolside or really anytime you are thirsty and need a beer... or 4.",3.644,92
420745,Two Docs Brewing Co.,3150658,Brexit English IPA,IPA - English,6.25,35,,3.761,92
420745,Two Docs Brewing Co.,3063015,Prairie Dawg Porter,Porter - American,5.9,32,"Big notes of chocolate and coffee are balanced out with a late kick of hops. This is our salute to the original inhabitants of the South Plains. If you need something to snuggle up to when the temperature drops, this brew, much like Lubbock’s mascot, will have you feeling all warm and fuzzy.",3.788,72
420745,Two Docs Brewing Co.,3104757,Easy Blonde,Blonde Ale,4.0,16,"Light, crisp and refreshing with a little kiss of Amarillo hops at the end. This blonde is hard to resist and keeps you coming back for more.",3.664,67
420745,Two Docs Brewing Co.,3104736,Steampunk Ale,California Common,4.4,33,"Smooth drinking amber colored ale brewed with lager yeast. Bay Area inspired, High Plains crafted.",3.68,64
420745,Two Docs Brewing Co.,3376550,Watermelon Gose,Shandy / Radler,3.64,0,"Needing a cool down? For a limited time, enjoy our newly crafted Watermelon Gose for a nice time on the patio. ",3.8,15
420745,Two Docs Brewing Co.,3466636,Pickle Gose,Sour - Other,4.5,8,,3.825,10
420745,Two Docs Brewing Co.,3488043,Brunch Bock,Bock - Single / Traditional,5.4,19,,0.0,7
420745,Two Docs Brewing Co.,3432355,Ruby Red Grapefruit Shandy,Shandy / Radler,4.0,0,,0.0,4
420745,Two Docs Brewing Co.,3412130,Game Day IPA,IPA - American,0.0,0,,0.0,3
420745,Two Docs Brewing Co.,3453729,BlackBerry Gose,Sour - Gose - Fruited,4.5,8,,0.0,2
420745,Two Docs Brewing Co.,3500094,Prairie Dog Porter - Mexican Cocoa,Porter - Other,0.0,0,"Two Docs Prairie Dog Porter infused with Mexican Cocoa. Extremely limited release. Oct. 25, 2019",0.0,1
205645,3 Nations Brewing,1103885,GPA,Pale Ale - International,5.2,52,"An experiment gone right! This refreshing Pale Ale has a delightfully artful nose, with touches of grapefruit, passionfruit and apricot. The body is fantastically light, crisp and bright, with touches of sweet malt that lead into a mild, dry finish that leaves clean notes of pine and citrus on the palate. Light enough to mow the lawn, hoppy enough to satisfy your hophead cravings! Try it with spicy thai food; a tangy Cheddar cheese or a rich meat lover’s pizza!",3.643,8676
205645,3 Nations Brewing,1954585,Mango Smash IPA,IPA - American,6.9,70,"We like to smash up the rules here at 3 Nations Brewing: instead of a Single Malt And Single Hop (S.M.A.S.H.) beer, we decided to stir it up a bit and use six hops, because why not? Bigger is better!
Huge notes of Mango, Pineapple and other tropical fruits
dominate the nose on this bright, powerful IPA giving a sweet and cheerful aroma. Its medium body is crisp and effervescent, leading to a soft, dry finish tinged with a light but assertive citrusy bitterness. No palate wrecker here, just a big mango monster ready to smash your thirst! Try it with some spicy pepper jack cheese; some spicy Pad Thai or your favorite spicy Asian noodles!",3.683,8224
205645,3 Nations Brewing,2588358,Royal Blood,Witbier,5.5,25,"This delightfully refreshing Belgian-style Wheat Beer is clever and witty in its own right. Four different types of citrus peel and a generous addition of blood orange produce a huge aroma with subtle hints of tropical fruit and peppery spice. The body is crisp and airy with complex fruit flavors that lead to a refreshingly dry, easy finish guaranteed to delight your taste buds whether it be by the pool on a hot summer day or around a cozy fire in the cold days of winter. Try pairing this lovely brew with sushi or sashimi; a mild goat cheese; a zesty ceviche or your favorite white fish dish.",3.728,4821
205645,3 Nations Brewing,1484438,Texas Gold,Blonde Ale,4.7,14,"The perfect antidote to the Texas heat. The perfect partner to a sunny day and a sports game. A perfect caddy for a round of 18 holes. Whatever your favorite outdoor Texas activity is, this delicious Blonde Ale delivers unparalleled flavor and freshness to keep your palate satisfied. The nose carries a subtle aroma of citrus, followed by a crisp, limber body that will expertly quench your thirst with perfectly balanced notes of quality hops and malts. The finish is dry, refreshing and comfortably easy-going. Pull your boots up, cowboy, this one will have you coming back for seconds! Try it with your favorite Tex-Mex dish; spicy Texas BBQ; or a good old-fashioned hot dog at the ball park.",3.457,3539
205645,3 Nations Brewing,1792631,Texas Xmas Ale - Mexican Chocolate,Stout - Imperial / Double,8.3,25,"Deliciously rich winter Milk stout with powerful notes of roast, bitter dark chocolate and a hint of heat in the finish. Christmas in a glass, Texas style.",4.146,3086
205645,3 Nations Brewing,2114188,Devout (Chocolate Hazelnut),Stout - Imperial / Double Milk,8.3,0,"Our line of Imperial Milk Stouts is a culmination of our love for the finest ingredients and the highest quality beer out in the market. The Devout series is a direct result of our passion and respect for tradition, an homage to flavor and aroma. Chocolate Hazelnut is an example of delicious dessert blended with your favorite dark coffee; the nose is powerfully fragrant with rich notes of hazelnut that opens up to sweet flavors of milk chocolate, roast and coffee in its full body. The finish is wonderfully mouth-coating, slightly dry and beautifully lingering. Try it with your favorite coffee-rubbed steak or roast; hearty red Texas chili or after a meal as a standalone dessert.",4.145,2860
205645,3 Nations Brewing,2873665,Devout (Creme Brulee),Stout - Imperial / Double Milk,8.3,25,"The creme de la creme of imperial milk stouts - this brew is filled with notes of toffee, chocolate, caramel, vanilla and roasted coffee. A beer devout to our calling - divine taste, true to tradition. ",4.124,2588
205645,3 Nations Brewing,2794470,Cozy Bavarian,Märzen,6.8,15,"We wait quite impatiently all year to brew this fantastic Lager. Respect for tradition at its finest. This historical style calls for a hefty, medium body, with assertive aromas of toffee, rich malt sweetness and a crisp, soothing finish. However, this would not be a true 3 Nations creation if we didn’t add our unique touch to it: behind the comfort of its sweet caramel and nutty flavors, you will catch a subtle, but powerful note of dark cherries that ties the whole experience together. Even better than Prince Ludwig and Therese ever expected! Try it with your favorite cheesy bratwurst; a spicy plate of Texan BBQ or pair this malty brew with  extra-sharp hard cheese. Hoist that stein up high, mein freund! Prost!",3.713,2314
205645,3 Nations Brewing,3013241,Devout (Horchata),Stout - Imperial / Double Milk,8.3,0,"Our line of Imperial Milk Stouts is a culmination of our love for the finest ingredients and the highest quality beer out in the market. The Devout series is a direct result of our passion and respect for tradition, an homage to flavor and aroma. This Horchata variant is no different; the nose displays rich and powerful notes of coffee and vanilla. Its full body is exceedingly smooth, teeming with flavors of sweet vanilla, a soft tinge of cinnamon and a deliciously roasted bitterness. The coffee lingers beside a nice warmth, with a dry, refreshing smoothness in the finish. Fantastic with red meats, a hearty red chili and tangy BBQ dishes, or even as dessert following a meal.",4.074,2107
205645,3 Nations Brewing,2593175,Haze Wizard Volume 3,IPA - New England,7.5,55,,3.824,2064
205645,3 Nations Brewing,2770077,Devout Marzipan Imperial Golden Stout,Stout - White,8.5,0,"Golden in color, yet rich and mysterious like a pitch-black imperial stout. This cleverly deceptive brew will tell your eyes one thing and your palate entirely another. Huge notes of coffee open up the beer’s aroma with sweet tinges of vanilla. The body is full and velvet-like, with sumptuous almond sweetness and a subtle touch of cinnamon spice balanced expertly with a lavish roasted flavor, leading to a deliciously nutty, dry finish. Pair this lush Golden Stout with your favorite savory cut of beef or veal; a rich plate of spaghetti Bolognese with meatballs; a tart raspberry pie; or as a standalone dessert after a meal. Guaranteed to keep all of your senses on their toes!",4.118,1865
205645,3 Nations Brewing,2573616,Devout (Bananas Foster),Stout - Imperial / Double Milk,8.3,25,"Bananas and brown sugar, with a slight hint of cinnamon.  Coffee, roasted barley notes and surprisingly drinkable at 8.3% ABV.",3.938,1365
205645,3 Nations Brewing,1427570,Bull's English Brown Coffee,Brown Ale - English,5.5,25,,4.033,1272
