zipcode_cluster,brewery_name,Brewery License,License Date,Status,brewery_in_production,brewery_id,brewery_address,brewery_city,brewery_state,brewery_zipcode,brewery_lat,brewery_lng,beer_count,rating_count,rating_score,age_on_service,neighboring_zips,checkins_total_count,checkins_unique_count,checkins_monthly_count,checkins_weekly_count
4,(512) Brewing Company,Brewery,5/20/2008,Open,0,1,407 Radam Ln,Austin,TX,78704,30.2236,-97.7697,157,160944,3.814,3308.740081,"7,874,578,741",246464,84027,1254,42
1,11 Below Brewing,Brewpub,5/31/2017,Open,0,149514,6820 Bourgeois Rd.,Houston,TX,77066,29.9526,-95.5189,61,44795,3.768,1918.045336,"7,706,477,069",61792,19237,1216,390
2,12 Fox Beer Company,Brewpub,9/27/2018,Open,0,431694,4700 W Fitzhugh Rd,Dripping Springs,TX,78620,30.2581,-98.1443,22,418,3.728,165.1876273,"7,873,778,669",486,176,28,0
1,3 Nations Brewing,Brewery,5/6/2015,Open,0,205645,"2405 Squire Place, Suite 200",Farmers Branch,TX,75234,32.931,-96.8983,44,67380,3.782,1600.819954,"7,500,675,229",88009,30528,1376,44
4,4J Brewing Company,Brewpub,11/16/2015,Open,0,386621,"1348 Cedar Post Lane,",Houston,TX,77080,29.7947,-95.5241,12,1102,3.697,586.1597801,"7,705,577,024",1458,507,26,0
4,4th Tap Brewing Co-Op,Brewery,4/13/2015,Open,0,229660,10615 Metric Blvd,Austin,TX,78758,30.3852,-97.7119,90,38805,3.65,1493.087407,"7,875,978,753",49945,17321,829,102
2,5 Stones Artisan Brewery,Brewpub,11/13/2017,Open,0,61531,11335 FM 1863,New Braunfels,TX,78266,29.7099,-98.2645,106,29660,3.77,2386.301516,"7,813,278,261",37782,12038,275,2
4,5x5 Brewing Co.,Brewpub,9/12/2017,Open,0,329524,"801 N. Bryan Rd, Suite 174",Mission,TX,78501,26.2121,-98.3114,17,1323,3.705,942.9725347,"7,857,278,503",1554,595,46,0
5,8th Wonder Brewery,Brewery,12/29/2011,Open,0,45113,2202 Dallas Street,Houston,TX,77003,29.7492,-95.3558,157,108911,3.678,2546.005058,"7,701,077,002",155561,41400,1391,34
1,903 Brewers,Brewpub,2/3/2017,Open,0,45007,1718 S. Elm St.,Sherman,TX,75092,33.6179,-96.6069,101,92428,3.739,2545.1364,"7,509,075,414",118696,37060,3137,80
2,Acopon Brewing Company,Brewpub,4/7/2017,Open,0,353307,211 Mercer,Dripping Springs,TX,78620,30.1925,-98.0891,44,3142,3.731,826.0457176,"7,873,778,619",3750,1089,90,0
4,Adelbert's Brewery,Brewpub,3/8/2016,Open,0,20007,"2314 Rutland Drive, Suite #100",Austin,TX,78758,30.3827,-97.7202,142,103379,3.761,2870.878519,"7,875,978,757",135428,47106,334,12
5,Alamo Beer Company,Brewery,9/29/2014,Open,0,43137,415 Burnet Street,San Antonio,TX,78215,29.4295,-98.4773,70,46183,3.427,3099.018264,"7,820,578,202",60332,31097,557,2
0,Altmeyer & Lewis Brewing Company,Brewery,7/16/2015,Open,1,294420,15898 TX-123,San Marcos,TX,78655,29.7874,-97.9467,0,1492,3.762,1162.118889,"7,866,678,638",1965,1040,0,0
1,Altstadt Brewery,Brewpub,5/12/2016,Open,0,331732,6120 East US Highway 290,Fredericksburg,TX,78624,30.2252,-98.7949,30,12942,3.625,953.3084259,"7,867,178,635",16166,7837,813,36
1,Angelina Brewing Company,Brewpub,4/29/2019,Open,0,432645,118 S 1st St,Lufkin,TX,75904,31.3385,-94.7294,33,673,3.875,155.980544,"7,590,175,941",866,221,62,0
5,Anvil Brewing,Brewpub,6/23/2017,Open,0,350129,115 Compress,Pittsburg,TX,75686,32.9971,-94.9671,32,275,3.441,845.0180556,"7,545,175,480",336,131,11,8
4,Aquabrew,Brewpub,11/17/2016,Open,0,286708,150 S LBJ Dr,San Marcos,TX,78666,29.8812,-97.9402,28,7444,3.706,1189.929549,"7,865,678,655",9147,3113,122,4
1,Armadillo Ale Works™,Brewery,2/19/2015,Open,0,9316,221 South Bell Ave,Denton,TX,76201,33.2126,-97.1281,29,36151,3.744,3157.815463,"7,620,576,209",51363,19132,713,12
1,Astral Brewing,Brewpub,10/2/2018,Open,0,423344,4816 N Shepherd Dr suite a,Houston,TX,77018,29.8354,-95.4102,36,4254,3.754,246.0267824,"7,702,277,076",5006,1523,289,4
0,Athens Brewing Company,Brewery,4/18/2016,Open,0,267312,101 E Tyler St,Athens,TX,75752,32.2054,-95.8538,35,1521,3.648,1279.158912,"7,575,175,778",1867,424,19,2
5,Aurellia's Bottle Shop & Brewhouse,Brewpub,11/3/2017,Open,0,429904,1620 Resler Dr,El Paso,TX,79911,31.8834,-106.571,50,507,3.848,181.8451968,"7,993,279,912",598,216,27,0
4,Austin Beerworks,Brewery,12/30/2010,Open,0,11819,3009 Industrial Terrace,Austin,TX,78758,30.3798,-97.7302,268,171011,3.742,3085.065972,"7,875,978,757",259584,67111,1603,54
2,B52 Brewing Co.,Brewpub,3/13/2014,Open,0,60207,12470 Milroy Lane,Conroe,TX,77304,30.3394,-95.5513,531,99452,3.945,2400.132442,"7,731,877,301",125178,19721,1978,44
5,Baa Baa Brewhouse,Brewpub,7/7/2015,Open,0,269031,"539 FM 359 Rd S, #7",Brookshire,TX,77423,29.773,-95.9506,118,11831,4.088,1271.933715,"7,744,177,494",14739,4279,663,22
4,Back Pew Brewing Company,Brewpub,2/13/2018,Open,0,209430,26452 Sorters McClellan Rd,Porter,TX,77339,30.0645,-95.2647,83,24080,3.723,1546.911944,"7,736,577,338",33961,10692,367,6
2,Back Unturned Brewing Co,Brewpub,3/22/2019,In the works,0,370015,8310 Narcissus Path,Boerne,TX,78006,29.7947,-98.732,5,22,0,725.9812731,"7,801,578,255",24,15,0,0
1,BackStory Brewery ,Brewery,10/31/2017,Open,0,393158,211 Magnolia,Sulphur Springs,TX,75482,33.1348,-95.6048,40,1716,3.698,529.0554514,"7,542,075,431",2027,823,71,8
5,Bandera Ale Project,Brewpub,7/11/2017,Open,0,368670,3540 State Highway 16 S Ste 2A,Bandera,TX,78063,29.7412,-99.0282,78,1098,3.657,726.8938079,"7,800,378,010",1355,388,65,8
2,Bankhead Brewing Co.,Brewpub,2/11/2016,Open,0,293554,3840 Main St,Rowlett,TX,75088,32.9027,-96.5656,44,7633,3.741,1157.900556,"7,508,975,043",9623,1825,111,2
0,Bar D Brewhouse,Brewpub,9/16/2011,Open,0,79142,213 N High St,San Saba,TX,76877,31.1967,-98.7184,11,401,2.956,2252.299248,"7,683,276,871",461,110,1,0
5,Bare Arms Brewing,Brewpub,3/13/2015,Open,0,207020,2515 La Salle Ave,Waco,TX,76711,31.5251,-97.1311,78,9455,3.584,1609.04485,"7,670,176,706",12625,3559,91,10
0,Barrow Brewing,Brewpub,4/2/2015,Open,0,260725,108 Royal Street,Salado,TX,76571,30.9428,-97.536,48,10096,3.614,1311.978333,"7,653,476,537",13266,5174,113,2
1,Basement Brewers Of Texas,Brewpub,8/17/2017,Open,0,372643,521 Clay St,Kerrville,TX,78028,30.0505,-99.1386,109,1054,3.792,698.1176505,"7,802,578,010",1200,305,68,0
