ID,cluster
75501,0
75204,5
78666,5
76205,0
79755,1
78886,0
76104,0
76244,2
76446,0
79601,0
79902,0
79088,1
76016,2
78733,2
79740,3
79761,0
75459,3
75438,3
77833,0
77663,3
78873,3
78560,3
78390,0
76711,0
76448,3
76537,0
79936,5
75771,3
78631,3
77077,2
75216,5
79748,0
78408,0
75944,3
77463,3
76093,3
76673,3
77070,2
79707,2
76538,3
75752,3
76882,3
79064,0
77089,0
77412,3
78236,0
79086,1
77563,0
75480,3
78843,3
77449,5
77061,0
77507,2
78932,3
76134,0
76066,3
78242,5
75838,0
78255,2
78108,2
78202,0
75453,3
78547,3
79347,1
79096,0
78223,5
75214,2
75450,3
75180,0
76110,5
76888,3
79381,0
78061,1
78545,3
79536,3
79547,3
79562,3
79764,0
76364,0
75024,2
79415,0
79022,1
77083,5
79782,1
75469,3
78757,2
78628,2
77519,3
76059,4
76388,0
75638,0
77435,0
78832,1
76272,3
77565,2
78063,3
76570,0
79537,3
78363,1
78377,0
75766,0
77575,0
77389,2
75081,2
79706,1
76469,3
76487,3
79107,0
75605,2
78117,3
77582,0
76112,5
75033,2
77048,0
76635,0
77662,3
77027,2
77032,0
77316,2
78021,3
79535,3
78851,1
77040,5
76201,0
77568,0
78870,0
78214,0
76058,0
77049,0
76802,3
77458,0
78204,0
76848,3
76233,3
75253,0
78885,3
75670,0
79927,5
79311,0
78610,2
75574,3
76457,3
77547,0
78739,2
75054,2
78641,2
75601,0
78634,2
76689,3
77042,5
79353,0
75022,2
75454,2
77079,2
77002,2
78941,0
77970,3
76670,0
75560,3
78935,0
77430,0
75570,0
77056,2
76671,3
75949,3
76678,0
75220,5
76692,3
76474,3
75002,2
76878,3
76148,0
77963,1
76135,0
75058,0
75424,3
76640,3
75948,3
79781,0
78877,0
78218,0
78343,0
77802,2
76557,0
78850,3
79346,1
76427,3
77031,0
77426,3
75021,3
75025,2
77988,3
79227,1
78933,3
76073,3
77004,5
78879,3
78663,3
77441,2
76527,0
75956,3
75654,0
77474,0
75561,0
75831,0
75098,2
79220,3
79424,2
78065,0
79566,3
75554,3
75158,3
76018,0
77054,5
78840,1
79042,1
79356,1
76691,3
77523,2
76208,0
76707,0
79765,2
75157,3
78624,1
75115,5
76834,1
75641,0
76936,1
78721,0
76825,1
77362,0
78347,0
78075,0
75001,0
77386,2
76534,0
76370,3
77360,3
79560,3
75043,5
78552,5
77465,1
76119,5
77414,1
79329,0
76264,3
78652,2
79034,3
79538,3
78737,2
76862,3
75087,2
79731,1
79543,3
78419,0
78943,0
78526,5
78004,2
76266,0
76823,3
75439,3
75063,2
77493,2
78415,5
76442,1
79718,1
77995,0
75954,3
75489,3
76643,0
79739,1
75056,2
78232,2
78638,3
78938,3
77587,0
77034,5
76120,0
77355,2
77629,3
78351,0
75155,0
75077,2
78141,3
77378,0
78121,2
77433,2
78942,0
78011,0
76578,0
77708,0
77961,3
77476,2
77856,3
76209,0
79097,3
79372,0
78261,2
75010,2
75094,2
76645,0
75572,3
79036,3
79549,1
75633,0
75225,2
77488,0
77380,2
79968,0
79901,3
75149,5
79749,0
75442,0
75645,3
79258,0
76273,3
76661,0
78756,2
77857,3
78940,3
79934,0
77026,0
79072,0
76177,2
79234,3
78401,0
77520,0
78205,3
77060,5
77447,0
75050,5
78669,2
78005,0
76491,3
77573,2
79838,0
75076,3
78659,3
77484,0
75668,0
75181,0
76653,3
79367,0
76849,1
78704,5
78241,3
78620,2
76250,3
75163,3
79777,0
77964,3
78235,2
77359,3
76904,2
75929,3
77870,3
79012,3
79532,0
77702,0
78148,0
79371,1
75496,3
77614,3
79907,5
77045,0
79230,0
79237,3
77440,0
79085,0
76832,3
76305,0
79512,1
75493,0
77545,0
75651,3
79014,1
77597,3
78213,5
78344,3
76622,3
76253,3
79363,0
77068,0
76865,3
77640,1
75790,3
79104,0
78880,1
79855,0
76681,3
76371,0
79705,2
75482,0
77564,3
78412,5
78661,0
78701,2
78734,2
77703,0
76873,3
78562,3
76114,0
78250,5
75451,3
77974,3
77511,0
77880,3
75935,0
75964,0
75470,3
78549,0
79259,0
78747,0
75203,0
78758,5
78589,5
79540,3
79416,0
76055,0
76522,4
76679,3
77088,5
78024,3
78256,2
76444,3
78027,3
75495,3
78833,3
75862,3
79719,0
75604,0
77477,0
77092,5
76137,2
78150,0
79504,3
77657,3
75092,0
78240,5
79521,0
78644,0
79527,3
75647,0
75144,0
79052,0
76693,3
79250,0
76271,3
76230,3
79243,3
78616,0
78119,0
75669,3
78617,0
77584,2
78026,0
79924,5
79236,3
79511,0
77470,0
75928,3
79501,0
79045,1
75041,0
78945,0
78852,5
79935,0
75237,5
78382,1
76306,0
77010,2
79080,3
78583,3
76020,2
77807,0
79002,3
77096,2
76637,3
76060,0
79745,1
76836,3
75662,0
78212,0
77468,0
77084,5
76424,1
79904,0
76436,3
75932,3
75089,2
79733,3
79046,3
76389,0
79506,3
79903,3
78934,0
79256,3
77445,0
77865,3
78373,3
77454,0
78577,5
78231,0
77007,2
78570,5
75770,3
75422,3
76012,0
75693,3
79744,0
75164,0
78569,3
77840,5
79404,0
77051,3
75418,0
76263,3
79778,0
79003,3
77872,3
78376,3
78951,3
76828,3
75065,0
79039,3
75152,0
78606,3
75420,3
77082,5
76255,3
79789,0
77505,0
77043,0
75135,0
78022,1
78387,0
78748,2
76308,0
79257,3
77064,0
77975,3
77554,3
79518,3
76053,0
78207,5
77982,3
78239,0
78871,3
75473,3
76015,0
75938,3
78233,0
77340,0
78219,0
79058,0
79754,3
76265,3
78717,2
76842,3
76549,4
76357,3
76955,3
78705,5
78596,5
78749,2
79092,1
77485,0
76706,5
78548,3
76049,2
77014,5
78671,3
76885,3
76844,3
78009,0
78598,3
78578,0
76450,1
78834,1
79111,0
75166,0
75481,3
78234,0
78359,0
75571,3
78948,3
76309,0
75218,2
77371,0
77456,0
75602,0
77539,2
77801,0
75839,3
79015,1
76632,0
79331,1
79734,1
76259,3
78827,3
79530,3
75240,5
76883,3
75667,3
79201,1
78017,0
78754,0
77328,0
75558,0
77459,2
73960,0
78402,3
78731,2
76471,3
78567,3
76458,1
79313,0
78629,0
76687,3
77038,5
78155,0
77418,0
75252,2
75143,3
75210,0
78357,1
79911,0
75845,3
75452,3
79916,3
75104,0
77076,5
77401,2
76437,3
77385,2
76107,2
76363,0
78662,0
76430,3
75709,0
75202,2
77611,3
78404,0
75475,3
76531,3
78070,2
78251,5
79119,2
79561,3
79851,1
77705,0
78677,0
78751,3
76022,0
77417,0
78013,0
78162,0
79508,3
76351,3
77506,5
75160,0
78107,3
78614,0
75951,0
75229,2
76017,2
79842,1
79928,5
75603,0
75114,0
78339,3
79403,0
78101,0
75248,2
78405,0
76310,0
76858,3
77303,0
77327,1
77632,3
78829,1
75930,3
75035,2
75703,2
75559,3
77853,0
78741,5
79607,0
78028,2
76248,2
77859,0
76621,3
76133,0
76712,2
75039,2
78332,1
79057,3
75074,5
77994,3
75972,3
77642,0
78118,0
77373,2
77050,0
79110,0
76245,3
78736,2
77971,0
77382,2
75409,0
75855,3
75784,0
78007,3
78759,2
75847,3
78729,0
78102,1
77479,2
75125,0
79101,0
76629,3
78142,3
76103,0
79051,0
77055,5
75211,5
78244,0
75244,0
75926,3
76543,4
79351,0
78362,0
77515,0
75488,3
75941,0
75206,5
77396,5
78391,0
78535,0
76301,0
76630,0
77808,0
75402,3
78947,3
78062,3
79905,5
76544,4
79027,0
75758,3
75446,3
76087,2
75652,0
75801,0
78609,3
78753,5
75169,3
75251,0
78023,2
76041,0
77030,2
75973,3
76373,0
75013,2
78211,5
76132,0
76626,3
75219,2
76933,3
77011,5
78621,0
79520,0
78375,3
75423,3
77351,1
78353,3
75044,2
78067,3
78542,5
77074,5
78597,3
77660,3
75705,0
76077,0
76864,3
75681,3
79062,0
75401,0
78407,0
76909,3
75247,0
77073,5
79932,0
79786,0
77494,2
78586,5
75861,0
78744,5
75082,2
79079,1
77541,0
79837,1
75224,5
79853,0
77012,5
78592,0
75494,3
76685,0
79007,0
76379,0
77531,0
76528,1
78830,3
75852,0
79082,0
78956,0
76431,3
77625,3
78147,0
77534,0
77080,5
75789,0
79098,0
75052,5
77437,0
78159,0
75440,3
79701,0
76877,1
76249,0
78836,3
78623,3
77581,2
77566,2
76116,5
78565,3
78665,2
76821,0
78227,5
78050,0
78883,3
77450,2
76957,0
79412,0
75020,0
79912,5
77831,3
77306,0
76483,3
75437,3
77905,1
75232,0
77067,5
78057,0
77039,0
79545,0
75070,2
78222,0
76036,0
78164,0
76550,1
79556,1
77990,3
75643,3
75835,1
79411,0
79011,3
77365,2
79567,0
77521,5
78503,5
76841,3
79742,0
75147,3
75472,3
76874,3
76556,3
77090,5
75933,3
77951,0
79087,0
75154,0
75568,3
75946,3
78550,5
76164,0
75032,2
79043,0
77598,0
76887,3
78259,2
78124,0
75417,3
79546,0
78247,2
79548,3
75067,5
76502,2
79330,0
75243,5
78058,3
76642,0
75414,3
78010,0
75432,3
79503,0
75146,0
77376,3
75117,3
77364,3
78414,2
77864,0
76655,3
76524,0
77950,3
78536,3
79525,3
79029,0
77346,2
79845,1
79756,0
77461,0
79240,3
77407,2
76501,0
78728,0
76092,2
76071,3
78703,2
78264,0
79314,0
78722,0
78248,2
78724,0
77571,0
76641,0
79783,0
76070,3
75028,2
79364,0
76657,0
77968,0
79233,3
76569,0
75925,0
77612,3
75708,0
75230,2
76548,0
76043,0
75650,3
78593,0
76513,0
79121,3
76031,0
76040,4
77384,2
77546,2
78640,5
78249,5
76481,3
78564,3
75457,0
77087,5
77041,0
77062,2
75137,0
79358,0
75235,0
76179,2
76131,2
77434,0
78653,0
78750,2
76932,1
78372,0
75057,0
75686,0
76013,0
78557,3
78727,2
76088,3
76872,3
77613,3
75421,3
78416,0
76384,1
78837,1
75792,0
75109,3
77037,0
79370,1
76302,0
79355,0
78591,3
76937,3
76559,0
76432,3
75209,2
76665,3
77063,5
78828,3
75110,4
78064,0
76577,3
77536,2
79915,5
79766,0
75773,3
79922,0
77530,0
78541,5
76261,3
78161,0
76710,0
75976,3
77533,3
76666,3
76123,0
78726,2
76052,2
76367,3
75858,3
76519,3
76002,0
77094,2
76852,3
75783,3
76484,3
76639,3
79854,1
78417,0
79339,1
78341,3
77065,0
78959,0
76374,1
77066,0
77069,2
75551,3
75856,3
75126,2
75234,0
75960,0
79054,3
76126,2
75249,0
79247,3
75431,0
75088,2
75412,3
77954,0
75851,0
79357,0
77904,2
76106,5
75161,0
76708,0
79830,1
78116,3
78263,0
78719,0
78501,5
75462,3
75060,5
76155,0
75019,2
75707,0
77442,0
78636,3
77003,0
77086,0
76871,3
79908,0
78615,0
75961,0
76875,3
79539,0
78076,1
76449,3
79245,0
76827,3
75071,2
75937,3
79343,0
78602,0
77363,3
78660,2
77375,2
79517,3
77023,5
78664,5
79033,3
78146,0
77590,0
76651,0
76082,3
79534,3
79730,0
79510,3
75656,3
79553,0
78140,0
75566,3
76118,0
79251,3
79376,0
76463,3
79836,3
78019,3
78114,0
76649,3
75435,3
77478,2
